tp,fp,tn,fn,precision,recall,f1_score,runtime
1,3,2,0,0.25,1.0,0.4,0.0013434886932373047
0,3,2,1,0.0,0.0,0.0,0.0012736320495605469
0,3,2,1,0.0,0.0,0.0,0.0013699531555175781
0,2,3,1,0.0,0.0,0.0,0.0013451576232910156
1,2,3,0,0.3333333333333333,1.0,0.5,0.0014538764953613281
1,4,1,0,0.2,1.0,0.3333333333333333,0.0014200210571289062
0,4,1,1,0.0,0.0,0.0,0.001527547836303711
0,3,2,1,0.0,0.0,0.0,0.0012624263763427734
1,2,3,0,0.3333333333333333,1.0,0.5,0.0012247562408447266
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.0013396739959716797
1,2,3,0,0.3333333333333333,1.0,0.5,0.0016143321990966797
0,2,3,1,0.0,0.0,0.0,0.0011577606201171875
0,0,5,1,0,0.0,0.0,0.0012769699096679688
1,3,2,0,0.25,1.0,0.4,0.0014793872833251953
0,3,2,1,0.0,0.0,0.0,0.001543283462524414
0,2,3,1,0.0,0.0,0.0,0.001378774642944336
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.0013060569763183594
0,2,3,1,0.0,0.0,0.0,0.0014257431030273438
1,1,4,0,0.5,1.0,0.6666666666666666,0.0016734600067138672
1,4,1,0,0.2,1.0,0.3333333333333333,0.0024366378784179688
0,2,3,1,0.0,0.0,0.0,0.001750946044921875
1,2,3,0,0.3333333333333333,1.0,0.5,0.0011725425720214844
0,3,2,1,0.0,0.0,0.0,0.0012664794921875
1,2,3,0,0.3333333333333333,1.0,0.5,0.00127410888671875
1,2,3,0,0.3333333333333333,1.0,0.5,0.001310586929321289
1,1,4,0,0.5,1.0,0.6666666666666666,0.0012989044189453125
1,2,3,0,0.3333333333333333,1.0,0.5,0.0017614364624023438
0,0,5,1,0,0.0,0.0,0.0022585391998291016
1,3,2,0,0.25,1.0,0.4,0.0013110637664794922
0,2,3,1,0.0,0.0,0.0,0.0013413429260253906
0,1,4,1,0.0,0.0,0.0,0.001291036605834961
1,4,1,0,0.2,1.0,0.3333333333333333,0.0012888908386230469
1,4,1,0,0.2,1.0,0.3333333333333333,0.0012736320495605469
0,3,2,1,0.0,0.0,0.0,0.0017268657684326172
0,3,2,1,0.0,0.0,0.0,0.0017910003662109375
0,3,2,1,0.0,0.0,0.0,0.0015664100646972656
0,2,3,1,0.0,0.0,0.0,0.001967191696166992
0,3,2,1,0.0,0.0,0.0,0.0014085769653320312
1,2,3,0,0.3333333333333333,1.0,0.5,0.0018072128295898438
0,2,3,1,0.0,0.0,0.0,0.0012164115905761719
0,4,1,1,0.0,0.0,0.0,0.001359701156616211
1,2,3,0,0.3333333333333333,1.0,0.5,0.00147247314453125
1,2,3,0,0.3333333333333333,1.0,0.5,0.0012149810791015625
1,1,4,0,0.5,1.0,0.6666666666666666,0.0016367435455322266
0,1,4,1,0.0,0.0,0.0,0.0014109611511230469
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.0014934539794921875
1,2,3,0,0.3333333333333333,1.0,0.5,0.0013415813446044922
0,4,1,1,0.0,0.0,0.0,0.0012662410736083984
0,2,3,1,0.0,0.0,0.0,0.0013453960418701172
0,3,2,1,0.0,0.0,0.0,0.001764059066772461
0,2,3,1,0.0,0.0,0.0,0.0012710094451904297
1,1,4,0,0.5,1.0,0.6666666666666666,0.0014698505401611328
1,3,2,0,0.25,1.0,0.4,0.0013554096221923828
1,1,4,0,0.5,1.0,0.6666666666666666,0.001249551773071289
0,0,5,1,0,0.0,0.0,0.0015537738800048828
0,4,1,1,0.0,0.0,0.0,0.001306295394897461
0,2,3,1,0.0,0.0,0.0,0.001421213150024414
0,2,3,1,0.0,0.0,0.0,0.0015833377838134766
0,2,3,1,0.0,0.0,0.0,0.0013589859008789062
1,3,2,0,0.25,1.0,0.4,0.0011394023895263672
1,3,2,0,0.25,1.0,0.4,0.0012705326080322266
0,1,4,1,0.0,0.0,0.0,0.0016150474548339844
0,3,2,1,0.0,0.0,0.0,0.001972675323486328
0,4,1,1,0.0,0.0,0.0,0.0012969970703125
1,2,3,0,0.3333333333333333,1.0,0.5,0.0013325214385986328
1,3,2,0,0.25,1.0,0.4,0.0016093254089355469
0,3,2,1,0.0,0.0,0.0,0.0012249946594238281
