tp,fp,tn,fn,precision,recall,f1_score,runtime
1,1,4,0,0.5,1.0,0.6666666666666666,23.989163160324097
0,1,4,1,0.0,0.0,0.0,23.324719429016113
0,0,5,1,0,0.0,0.0,23.340831518173218
0,2,3,1,0.0,0.0,0.0,23.10975980758667
1,1,4,0,0.5,1.0,0.6666666666666666,23.85063362121582
0,0,5,1,0,0.0,0.0,23.54276943206787
0,0,5,1,0,0.0,0.0,24.212848901748657
0,1,4,1,0.0,0.0,0.0,24.22203278541565
1,0,5,0,1.0,1.0,1.0,23.914608001708984
0,1,4,1,0.0,0.0,0.0,23.328352451324463
0,0,5,1,0,0.0,0.0,24.43046283721924
0,0,5,1,0,0.0,0.0,23.660946130752563
0,0,5,1,0,0.0,0.0,23.71684169769287
0,2,3,1,0.0,0.0,0.0,24.298516988754272
0,0,5,1,0,0.0,0.0,23.900092363357544
0,0,5,1,0,0.0,0.0,23.76719570159912
0,2,3,1,0.0,0.0,0.0,24.025892734527588
1,0,5,0,1.0,1.0,1.0,24.335578203201294
0,2,3,1,0.0,0.0,0.0,24.256300926208496
1,0,5,0,1.0,1.0,1.0,23.782060861587524
1,0,5,0,1.0,1.0,1.0,23.596647024154663
0,0,5,1,0,0.0,0.0,23.716754913330078
0,0,5,1,0,0.0,0.0,23.748032093048096
0,0,5,1,0,0.0,0.0,23.665194749832153
0,0,5,1,0,0.0,0.0,23.55739450454712
0,0,5,1,0,0.0,0.0,23.981184244155884
0,0,5,1,0,0.0,0.0,23.51682186126709
1,3,2,0,0.25,1.0,0.4,24.17982292175293
0,1,4,1,0.0,0.0,0.0,23.994141340255737
0,1,4,1,0.0,0.0,0.0,23.957727670669556
0,0,5,1,0,0.0,0.0,23.95699954032898
0,0,5,1,0,0.0,0.0,23.39975666999817
0,0,5,1,0,0.0,0.0,23.8533718585968
0,0,5,1,0,0.0,0.0,24.324275016784668
0,0,5,1,0,0.0,0.0,24.650044679641724
0,0,5,1,0,0.0,0.0,24.48623776435852
0,1,4,1,0.0,0.0,0.0,24.336013078689575
1,1,4,0,0.5,1.0,0.6666666666666666,23.965604305267334
0,1,4,1,0.0,0.0,0.0,23.90464425086975
0,0,5,1,0,0.0,0.0,24.418925285339355
0,0,5,1,0,0.0,0.0,24.28937029838562
0,0,5,1,0,0.0,0.0,24.091050386428833
0,0,5,1,0,0.0,0.0,24.3430233001709
0,3,2,1,0.0,0.0,0.0,24.674349784851074
0,0,5,1,0,0.0,0.0,23.994121313095093
0,1,4,1,0.0,0.0,0.0,23.719884395599365
0,1,4,1,0.0,0.0,0.0,24.528053998947144
0,0,5,1,0,0.0,0.0,23.58370018005371
0,0,5,1,0,0.0,0.0,24.426085233688354
1,2,3,0,0.3333333333333333,1.0,0.5,24.516525506973267
1,1,4,0,0.5,1.0,0.6666666666666666,24.191316843032837
0,2,3,1,0.0,0.0,0.0,24.421961307525635
0,1,4,1,0.0,0.0,0.0,23.875385522842407
1,0,5,0,1.0,1.0,1.0,24.63880228996277
0,0,5,1,0,0.0,0.0,24.474779844284058
0,1,4,1,0.0,0.0,0.0,24.435320615768433
0,2,3,1,0.0,0.0,0.0,24.041008472442627
0,0,5,1,0,0.0,0.0,24.047800540924072
0,0,5,1,0,0.0,0.0,23.69819140434265
0,0,5,1,0,0.0,0.0,24.09876251220703
0,1,4,1,0.0,0.0,0.0,23.620901584625244
0,0,5,1,0,0.0,0.0,24.649742126464844
0,1,4,1,0.0,0.0,0.0,23.888803720474243
0,1,4,1,0.0,0.0,0.0,23.79292607307434
0,0,5,1,0,0.0,0.0,24.25169348716736
0,0,5,1,0,0.0,0.0,23.789217472076416
0,1,4,1,0.0,0.0,0.0,23.97708535194397
