tp,fp,tn,fn
2,4,19,5
1,0,23,6
0,1,21,8
1,4,19,6
1,1,21,7
2,4,19,5
0,1,21,8
1,2,20,7
0,3,19,8
1,2,20,7
1,2,20,7
1,1,21,7
3,5,18,4
2,4,19,5
1,3,20,6
2,4,19,5
5,8,15,2
1,4,19,6
6,8,15,1
0,2,20,8
1,2,20,7
4,3,19,4
2,3,19,6
0,2,20,8
1,3,19,7
0,4,18,8
3,2,20,5
2,3,19,6
0,3,19,8
1,3,19,7
3,5,18,4
2,3,20,5
0,3,19,8
2,2,20,6
3,10,13,4
3,4,19,4
1,1,21,7
3,5,18,4
1,2,20,7
1,1,21,7
1,2,20,7
0,2,20,8
4,3,19,4
3,6,17,4
2,2,20,6
1,3,20,6
1,3,19,7
1,1,22,6
7,19,3,1
5,4,19,2
