tp,fp,tn,fn
4,6,57,5
2,2,63,5
2,4,59,7
5,6,57,4
5,3,60,4
6,9,56,1
5,4,61,2
4,1,62,5
5,2,61,4
4,4,59,5
5,6,57,4
3,4,59,6
4,7,58,3
6,6,59,1
5,2,63,2
4,5,60,3
6,27,37,2
3,1,62,6
6,27,37,2
0,0,63,9
5,6,57,4
5,4,61,2
2,8,55,7
1,5,58,8
6,8,57,1
5,6,57,4
4,2,61,5
2,7,56,7
5,5,60,2
5,5,58,4
4,20,43,5
4,6,59,3
4,7,56,5
5,3,60,4
5,31,32,4
5,4,61,2
5,2,61,4
5,6,59,2
5,4,59,4
3,3,60,6
3,3,60,6
4,8,57,3
5,5,58,4
6,11,53,2
3,10,53,6
6,4,61,1
4,4,59,5
5,3,62,2
9,56,7,0
6,14,50,2
