tp,fp,tn,fn
5,8,108,11
2,5,114,11
4,4,112,12
5,7,109,11
6,5,111,10
8,7,112,5
7,4,115,6
4,2,114,12
6,3,113,10
5,5,111,11
8,7,109,8
4,4,112,12
6,9,110,7
8,6,110,8
6,3,116,7
5,7,112,8
9,39,79,5
3,3,113,13
10,40,77,5
0,6,110,16
5,8,108,11
6,5,114,7
3,14,102,13
1,9,107,15
9,12,107,4
6,7,109,10
4,6,110,12
4,9,107,12
4,6,110,12
5,8,108,11
6,24,92,10
6,7,112,7
5,8,108,11
6,5,111,10
7,42,75,8
8,8,111,5
6,2,114,10
6,10,109,7
7,4,112,9
5,5,111,11
4,6,110,12
6,10,109,7
6,10,106,10
9,14,104,5
4,5,111,12
7,4,115,6
6,4,112,10
6,3,116,7
16,98,18,0
11,22,96,3
