tp,fp,tn,fn
3,16,7,4
3,11,12,4
5,7,16,2
4,14,8,4
2,12,10,6
7,8,14,1
4,12,11,3
3,9,13,5
3,10,12,5
4,9,13,4
3,8,15,4
3,10,13,4
4,15,7,4
3,8,15,4
5,9,14,2
5,7,16,2
5,8,14,3
4,12,11,3
4,11,11,4
7,10,13,0
4,12,10,4
3,10,12,5
5,8,14,3
5,12,11,2
6,13,9,2
3,17,6,4
3,10,12,5
4,10,12,4
6,11,11,2
3,8,15,4
2,7,16,5
4,14,8,4
3,9,13,5
5,11,12,2
6,15,7,2
4,12,11,3
4,12,10,4
2,12,10,6
6,13,9,2
6,9,14,1
2,8,15,5
4,17,5,4
4,13,9,4
4,8,15,3
4,9,14,3
4,12,10,4
5,13,10,2
4,12,10,4
5,10,13,2
3,9,13,5
