tp,fp,tn,fn
5,34,31,2
7,31,33,1
4,33,30,5
7,32,32,1
5,27,37,3
6,29,35,2
4,30,35,3
4,34,31,3
4,29,35,4
5,30,34,3
5,38,26,3
4,27,37,4
2,30,33,7
3,36,27,6
5,32,32,3
5,34,31,2
4,35,28,5
6,36,29,1
8,34,29,1
5,35,29,3
6,37,26,3
5,28,36,3
6,31,33,2
5,30,33,4
5,28,37,2
5,34,29,4
5,27,38,2
4,37,28,3
6,30,34,2
3,30,35,4
3,28,35,6
5,33,31,3
5,30,35,2
3,28,35,6
4,32,33,3
5,27,37,3
6,32,32,2
3,36,29,4
3,33,32,4
3,30,33,6
3,35,30,4
4,30,35,3
5,32,31,4
6,32,31,3
6,35,29,2
3,23,40,6
4,30,33,5
5,26,38,3
5,34,31,2
2,35,28,7
