tp,fp,tn,fn
7,54,63,8
5,53,66,8
6,59,60,7
10,59,58,5
8,57,60,7
10,57,61,4
9,51,65,7
10,59,59,4
10,63,55,4
5,64,55,8
5,53,65,9
10,64,53,5
4,71,48,9
8,60,58,6
10,54,63,5
14,59,57,2
6,59,57,10
9,53,65,5
11,58,59,4
7,50,66,9
6,53,65,8
7,59,59,7
11,65,51,5
6,64,53,9
6,60,59,7
8,58,60,6
9,54,64,5
7,61,55,9
6,55,63,8
7,60,56,9
6,56,62,8
8,59,59,6
6,64,53,9
11,48,71,2
8,50,69,5
7,55,63,7
4,59,60,9
8,59,59,6
7,67,52,6
5,75,44,8
11,67,51,3
7,51,68,6
13,53,64,2
9,59,58,6
6,60,58,8
9,61,56,6
13,59,59,1
8,62,55,7
12,51,66,3
10,64,53,5
