tp,fp,tn,fn
0,2,20,8
0,1,21,8
0,1,21,8
0,2,20,8
0,1,21,8
1,3,20,6
0,4,18,8
0,2,20,8
0,1,21,8
0,3,19,8
1,0,23,6
0,1,21,8
1,4,19,6
0,3,19,8
0,1,21,8
1,2,21,6
0,0,22,8
0,2,20,8
0,6,16,8
0,3,19,8
1,1,22,6
0,3,19,8
1,2,21,6
1,3,20,6
0,1,21,8
0,2,20,8
1,2,21,6
1,2,21,6
0,2,20,8
0,2,20,8
0,5,17,8
0,4,18,8
0,4,18,8
0,0,22,8
1,0,23,6
0,3,19,8
0,1,21,8
1,1,22,6
0,0,22,8
0,2,20,8
0,2,20,8
1,2,21,6
0,1,21,8
1,4,19,6
1,1,22,6
0,0,22,8
0,2,20,8
0,1,21,8
0,1,21,8
1,1,22,6
