tp,fp,tn,fn
1,5,58,8
1,5,58,8
1,8,57,6
1,4,59,8
2,3,62,5
0,4,59,9
1,5,60,6
0,1,62,9
1,4,59,8
2,8,56,6
1,4,61,6
3,5,60,4
1,5,60,6
2,5,59,6
0,4,59,9
1,3,62,6
1,5,60,6
1,4,59,8
2,4,61,5
2,6,59,5
1,6,57,8
0,6,57,9
2,9,54,7
0,6,57,9
1,7,56,8
1,4,59,8
0,4,59,9
1,5,60,6
1,3,60,8
0,4,59,9
1,7,56,8
0,4,59,9
1,3,60,8
1,0,65,6
1,8,55,8
0,3,60,9
1,2,61,8
1,4,61,6
0,6,57,9
3,5,59,5
1,4,59,8
1,6,57,8
1,5,60,6
1,6,57,8
1,5,60,6
0,3,60,9
0,6,57,9
0,1,62,9
2,4,60,6
1,6,57,8
