tp,fp,tn,fn
2,9,110,11
3,6,112,11
1,8,111,12
1,9,107,15
3,8,110,11
1,6,110,15
1,7,109,15
2,2,116,12
1,4,112,15
2,6,112,12
1,7,112,12
2,5,111,14
1,3,116,12
1,6,113,12
1,4,112,15
0,8,108,16
1,2,114,15
2,3,116,11
2,4,115,11
1,7,109,15
0,7,109,16
3,6,111,12
3,7,112,10
1,5,114,12
2,4,115,11
1,5,111,15
1,5,111,15
2,10,109,11
1,4,112,15
2,4,115,11
2,7,112,11
1,8,111,12
1,4,112,15
0,6,110,16
2,4,115,11
1,2,117,12
2,3,116,11
0,11,105,16
0,4,112,16
1,4,112,15
1,5,111,15
1,3,113,15
1,4,112,15
0,8,108,16
2,3,115,12
0,2,114,16
2,3,116,11
1,2,117,12
2,4,115,11
3,6,113,10
