tp,fp,tn,fn,precision,recall,f1_score,runtime,duration
0,0,5,1,0,0.0,0.0,0.009565591812133789,15.200000000000001
0,0,5,1,0,0.0,0.0,0.008722543716430664,10.700000000000001
1,4,1,0,0.2,1.0,0.3333333333333333,0.2641432285308838,23.0
0,0,5,1,0,0.0,0.0,0.005083322525024414,14.8
0,2,3,1,0.0,0.0,0.0,0.24013280868530273,21.3
0,0,5,1,0,0.0,0.0,0.008843660354614258,13.600000000000001
0,0,5,1,0,0.0,0.0,0.008924007415771484,18.5
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.2757413387298584,24.8
0,1,4,1,0.0,0.0,0.0,0.28528475761413574,24.8
0,0,5,1,0,0.0,0.0,0.011149168014526367,18.2
0,1,4,1,0.0,0.0,0.0,0.2793006896972656,24.8
0,2,3,1,0.0,0.0,0.0,0.26639223098754883,24.900000000000002
0,0,5,1,0,0.0,0.0,0.0035293102264404297,19.1
0,0,5,1,0,0.0,0.0,0.008751153945922852,15.3
0,0,5,1,0,0.0,0.0,0.004690647125244141,13.8
0,2,3,1,0.0,0.0,0.0,0.24962925910949707,21.3
0,0,5,1,0,0.0,0.0,79.0003502368927,24.900000000000002
0,0,5,1,0,0.0,0.0,0.004781246185302734,12.200000000000001
0,0,5,1,0,0.0,0.0,79.00024247169495,24.8
0,0,5,1,0,0.0,0.0,0.009226560592651367,10.9
1,1,4,0,0.5,1.0,0.6666666666666666,0.2604708671569824,23.8
0,0,5,1,0,0.0,0.0,0.0048449039459228516,14.3
0,0,5,1,0,0.0,0.0,0.00885915756225586,12.3
0,0,5,1,0,0.0,0.0,0.004725217819213867,11.3
0,0,5,1,0,0.0,0.0,79.00056600570679,24.900000000000002
0,0,5,1,0,0.0,0.0,0.005025625228881836,16.8
0,2,3,1,0.0,0.0,0.0,0.25600218772888184,22.1
1,3,2,0,0.25,1.0,0.4,0.27192187309265137,24.900000000000002
0,0,5,1,0,0.0,0.0,0.0023293495178222656,17.1
0,0,5,1,0,0.0,0.0,0.0024900436401367188,18.900000000000002
0,2,3,1,0.0,0.0,0.0,6.211595296859741,24.900000000000002
1,3,2,0,0.25,1.0,0.4,0.30369114875793457,24.900000000000002
0,0,5,1,0,0.0,0.0,0.00889134407043457,17.5
1,4,1,0,0.2,1.0,0.3333333333333333,0.2884864807128906,24.8
0,0,5,1,0,0.0,0.0,0.002225160598754883,13.4
0,3,2,1,0.0,0.0,0.0,0.2871530055999756,24.8
1,4,1,0,0.2,1.0,0.3333333333333333,47.62955093383789,20.6
0,4,1,1,0.0,0.0,0.0,0.2766761779785156,24.900000000000002
0,4,1,1,0.0,0.0,0.0,0.2832660675048828,23.0
0,2,3,1,0.0,0.0,0.0,0.24904537200927734,21.5
0,0,5,1,0,0.0,0.0,79.00080442428589,24.8
1,3,2,0,0.25,1.0,0.4,0.2582738399505615,24.5
0,4,1,1,0.0,0.0,0.0,0.28108692169189453,24.8
0,0,5,1,0,0.0,0.0,79.00030779838562,24.900000000000002
0,0,5,1,0,0.0,0.0,0.005119800567626953,12.700000000000001
1,4,1,0,0.2,1.0,0.3333333333333333,0.3003714084625244,24.8
1,2,3,0,0.3333333333333333,1.0,0.5,0.260312557220459,23.400000000000002
0,3,2,1,0.0,0.0,0.0,0.26979780197143555,24.8
0,0,5,1,0,0.0,0.0,0.004534721374511719,10.3
1,1,4,0,0.5,1.0,0.6666666666666666,6.290218114852905,24.6
