tp,fp,tn,fn,precision,recall,f1_score,runtime
0,2,3,1,0.0,0.0,0.0,0.09421920776367188
0,2,3,1,0.0,0.0,0.0,0.07111811637878418
0,1,4,1,0.0,0.0,0.0,0.08876442909240723
0,3,2,1,0.0,0.0,0.0,0.07768797874450684
0,1,4,1,0.0,0.0,0.0,0.0880424976348877
0,0,5,1,0,0.0,0.0,0.07634925842285156
1,1,4,0,0.5,1.0,0.6666666666666666,0.10299253463745117
0,2,3,1,0.0,0.0,0.0,0.09185075759887695
0,1,4,1,0.0,0.0,0.0,0.09532761573791504
0,2,3,1,0.0,0.0,0.0,0.07433629035949707
1,2,3,0,0.3333333333333333,1.0,0.5,0.09703183174133301
0,1,4,1,0.0,0.0,0.0,0.08305621147155762
0,2,3,1,0.0,0.0,0.0,0.10550093650817871
0,2,3,1,0.0,0.0,0.0,0.08490633964538574
0,0,5,1,0,0.0,0.0,0.0948948860168457
1,2,3,0,0.3333333333333333,1.0,0.5,0.10170722007751465
1,0,5,0,1.0,1.0,1.0,0.1071476936340332
0,1,4,1,0.0,0.0,0.0,0.07225847244262695
0,3,2,1,0.0,0.0,0.0,0.12599849700927734
0,3,2,1,0.0,0.0,0.0,0.07221126556396484
0,3,2,1,0.0,0.0,0.0,0.1095118522644043
0,3,2,1,0.0,0.0,0.0,0.08234000205993652
0,1,4,1,0.0,0.0,0.0,0.0976705551147461
0,2,3,1,0.0,0.0,0.0,0.0730905532836914
1,1,4,0,0.5,1.0,0.6666666666666666,0.09955310821533203
0,2,3,1,0.0,0.0,0.0,0.08496880531311035
1,0,5,0,1.0,1.0,1.0,0.10379219055175781
1,2,3,0,0.3333333333333333,1.0,0.5,0.11486172676086426
0,1,4,1,0.0,0.0,0.0,0.0834808349609375
0,2,3,1,0.0,0.0,0.0,0.08090996742248535
1,3,2,0,0.25,1.0,0.4,0.10931563377380371
1,3,2,0,0.25,1.0,0.4,0.12179183959960938
0,1,4,1,0.0,0.0,0.0,0.08081984519958496
0,2,3,1,0.0,0.0,0.0,0.12015342712402344
1,0,5,0,1.0,1.0,1.0,0.07502222061157227
1,2,3,0,0.3333333333333333,1.0,0.5,0.1025397777557373
1,2,3,0,0.3333333333333333,1.0,0.5,0.09157633781433105
1,4,1,0,0.2,1.0,0.3333333333333333,0.13895058631896973
0,0,5,1,0,0.0,0.0,0.10190367698669434
0,0,5,1,0,0.0,0.0,0.09442281723022461
1,0,5,0,1.0,1.0,1.0,0.11363935470581055
0,0,5,1,0,0.0,0.0,0.1010897159576416
1,1,4,0,0.5,1.0,0.6666666666666666,0.13753771781921387
1,3,2,0,0.25,1.0,0.4,0.13918542861938477
0,2,3,1,0.0,0.0,0.0,0.08429431915283203
0,2,3,1,0.0,0.0,0.0,0.07416248321533203
1,3,2,0,0.25,1.0,0.4,0.10823869705200195
1,1,4,0,0.5,1.0,0.6666666666666666,0.09189009666442871
0,0,5,1,0,0.0,0.0,0.06242799758911133
0,3,2,1,0.0,0.0,0.0,0.08946537971496582
