tp,fp,tn,fn,precision,recall,f1_score,runtime
1,3,2,0,0.25,1.0,0.4,0.0034897327423095703
0,2,3,1,0.0,0.0,0.0,0.0034058094024658203
0,1,4,1,0.0,0.0,0.0,0.0038444995880126953
1,2,3,0,0.3333333333333333,1.0,0.5,0.003560304641723633
0,1,4,1,0.0,0.0,0.0,0.004281044006347656
0,1,4,1,0.0,0.0,0.0,0.003558635711669922
0,1,4,1,0.0,0.0,0.0,0.003776073455810547
1,1,4,0,0.5,1.0,0.6666666666666666,0.003961324691772461
1,4,1,0,0.2,1.0,0.3333333333333333,0.002535581588745117
0,2,3,1,0.0,0.0,0.0,0.0037374496459960938
1,2,3,0,0.3333333333333333,1.0,0.5,0.003824949264526367
1,3,2,0,0.25,1.0,0.4,0.0038449764251708984
0,1,4,1,0.0,0.0,0.0,0.0036249160766601562
0,3,2,1,0.0,0.0,0.0,0.003487110137939453
0,2,3,1,0.0,0.0,0.0,0.0038471221923828125
0,0,5,1,0,0.0,0.0,0.0012707710266113281
0,2,3,1,0.0,0.0,0.0,0.003878355026245117
1,4,1,0,0.2,1.0,0.3333333333333333,0.0034999847412109375
0,4,1,1,0.0,0.0,0.0,0.003952741622924805
0,2,3,1,0.0,0.0,0.0,0.0033369064331054688
1,1,4,0,0.5,1.0,0.6666666666666666,0.0013134479522705078
0,2,3,1,0.0,0.0,0.0,0.003474712371826172
0,0,5,1,0,0.0,0.0,0.003292560577392578
1,1,4,0,0.5,1.0,0.6666666666666666,0.003431558609008789
0,2,3,1,0.0,0.0,0.0,0.0039348602294921875
1,3,2,0,0.25,1.0,0.4,0.0038111209869384766
0,2,3,1,0.0,0.0,0.0,0.0038890838623046875
1,3,2,0,0.25,1.0,0.4,0.0047342777252197266
0,3,2,1,0.0,0.0,0.0,0.004775524139404297
0,3,2,1,0.0,0.0,0.0,0.0011799335479736328
1,4,1,0,0.2,1.0,0.3333333333333333,0.0038216114044189453
1,4,1,0,0.2,1.0,0.3333333333333333,0.004105806350708008
0,4,1,1,0.0,0.0,0.0,0.0035233497619628906
0,3,2,1,0.0,0.0,0.0,0.0038950443267822266
0,1,4,1,0.0,0.0,0.0,0.0008661746978759766
1,3,2,0,0.25,1.0,0.4,0.004011869430541992
0,2,3,1,0.0,0.0,0.0,0.003851175308227539
1,4,1,0,0.2,1.0,0.3333333333333333,0.003910064697265625
0,3,2,1,0.0,0.0,0.0,0.00418400764465332
1,2,3,0,0.3333333333333333,1.0,0.5,0.003827333450317383
1,2,3,0,0.3333333333333333,1.0,0.5,0.003905773162841797
0,2,3,1,0.0,0.0,0.0,0.0013546943664550781
1,2,3,0,0.3333333333333333,1.0,0.5,0.0013954639434814453
0,4,1,1,0.0,0.0,0.0,0.00380706787109375
1,2,3,0,0.3333333333333333,1.0,0.5,0.0033903121948242188
1,2,3,0,0.3333333333333333,1.0,0.5,0.004140615463256836
1,3,2,0,0.25,1.0,0.4,0.0037174224853515625
1,1,4,0,0.5,1.0,0.6666666666666666,0.003941774368286133
1,4,1,0,0.2,1.0,0.3333333333333333,0.0032193660736083984
0,3,2,1,0.0,0.0,0.0,0.004125356674194336
