tp,fp,tn,fn,precision,recall,f1_score,runtime
1,1,4,0,0.5,1.0,0.6666666666666666,21.10558032989502
1,1,4,0,0.5,1.0,0.6666666666666666,20.84663486480713
0,1,4,1,0.0,0.0,0.0,20.549684524536133
0,2,3,1,0.0,0.0,0.0,21.386789560317993
1,1,4,0,0.5,1.0,0.6666666666666666,20.518548727035522
0,1,4,1,0.0,0.0,0.0,21.32550358772278
0,2,3,1,0.0,0.0,0.0,21.207776069641113
1,1,4,0,0.5,1.0,0.6666666666666666,21.259323120117188
0,2,3,1,0.0,0.0,0.0,20.87384033203125
0,2,3,1,0.0,0.0,0.0,21.106333017349243
1,1,4,0,0.5,1.0,0.6666666666666666,20.77001142501831
0,2,3,1,0.0,0.0,0.0,21.53765296936035
1,1,4,0,0.5,1.0,0.6666666666666666,20.62509274482727
1,3,2,0,0.25,1.0,0.4,20.837534189224243
0,1,4,1,0.0,0.0,0.0,20.976711988449097
0,2,3,1,0.0,0.0,0.0,20.88614511489868
1,1,4,0,0.5,1.0,0.6666666666666666,20.898394107818604
1,1,4,0,0.5,1.0,0.6666666666666666,21.130950450897217
1,1,4,0,0.5,1.0,0.6666666666666666,21.07224178314209
0,1,4,1,0.0,0.0,0.0,21.181509017944336
0,1,4,1,0.0,0.0,0.0,21.03027892112732
0,1,4,1,0.0,0.0,0.0,20.748028993606567
0,2,3,1,0.0,0.0,0.0,21.399770736694336
0,1,4,1,0.0,0.0,0.0,20.631734371185303
0,0,5,1,0,0.0,0.0,20.972299575805664
0,2,3,1,0.0,0.0,0.0,20.85851788520813
1,3,2,0,0.25,1.0,0.4,20.529879093170166
0,2,3,1,0.0,0.0,0.0,20.914461135864258
0,1,4,1,0.0,0.0,0.0,21.006584882736206
1,0,5,0,1.0,1.0,1.0,20.889092445373535
0,3,2,1,0.0,0.0,0.0,20.839874982833862
0,3,2,1,0.0,0.0,0.0,20.79200291633606
0,2,3,1,0.0,0.0,0.0,21.140384674072266
0,2,3,1,0.0,0.0,0.0,20.584821701049805
1,1,4,0,0.5,1.0,0.6666666666666666,20.983363151550293
0,1,4,1,0.0,0.0,0.0,21.091167449951172
0,1,4,1,0.0,0.0,0.0,21.475462198257446
1,0,5,0,1.0,1.0,1.0,20.926982402801514
0,4,1,1,0.0,0.0,0.0,21.125692129135132
0,0,5,1,0,0.0,0.0,21.0961434841156
0,1,4,1,0.0,0.0,0.0,20.612950801849365
0,2,3,1,0.0,0.0,0.0,20.733163595199585
0,0,5,1,0,0.0,0.0,20.9112389087677
1,1,4,0,0.5,1.0,0.6666666666666666,20.82666563987732
0,2,3,1,0.0,0.0,0.0,21.118359565734863
0,1,4,1,0.0,0.0,0.0,20.969165802001953
0,0,5,1,0,0.0,0.0,20.777653217315674
0,1,4,1,0.0,0.0,0.0,21.108127117156982
1,1,4,0,0.5,1.0,0.6666666666666666,21.312983751296997
1,1,4,0,0.5,1.0,0.6666666666666666,20.94721508026123
