duration,f1_score,count
50,0.0,605
50,0.3333333333333333,45
50,0.6666666666666666,94
50,1.0,25
50,0.5,130
50,0.4,90
50,0.2857142857142857,5
75,0.0,286
75,0.4,53
75,0.6666666666666666,71
75,0.5,71
75,0.3333333333333333,27
75,1.0,15
75,0.2857142857142857,2
25,0.3333333333333333,82
25,0.4,231
25,0.5,219
25,0.0,1698
25,0.6666666666666666,127
25,0.2857142857142857,12
25,1.0,15
100,0.0,140
100,0.4,28
100,0.5,44
100,0.6666666666666666,52
100,1.0,15
100,0.3333333333333333,10
100,0.2857142857142857,1
150,0.6666666666666666,23
150,0.0,22
150,0.5,9
150,0.4,12
150,0.3333333333333333,1
150,1.0,2
225,0.5,2
225,0.0,3
225,0.4,1
225,0.3333333333333333,3
225,0.6666666666666666,2
225,1.0,1
125,0.4,9
125,0.0,55
125,0.5,25
125,0.6666666666666666,26
125,0.3333333333333333,3
125,1.0,7
200,0.0,9
200,1.0,2
200,0.5,8
200,0.6666666666666666,6
200,0.4,4
200,0.2857142857142857,1
175,0.6666666666666666,17
175,0.4,4
175,0.0,9
175,0.5,8
175,1.0,1
71,0.0,1
250,1.0,1
250,0.0,3
250,0.4,1
250,0.3333333333333333,1
250,0.5,3
375,0.6666666666666666,1
48,0.4,1
275,0.6666666666666666,2
275,0.0,1
275,0.5,1
275,0.4,1
69,0.5,1
300,0.5,1
300,0.0,1
300,0.6666666666666666,1
