tp,fp,tn,fn,precision,recall,f1_score,runtime
1,1,4,0,0.5,1.0,0.6666666666666666,0.0027017593383789062
0,2,3,1,0.0,0.0,0.0,0.0038394927978515625
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.0014848709106445312
1,1,4,0,0.5,1.0,0.6666666666666666,0.004503488540649414
1,1,4,0,0.5,1.0,0.6666666666666666,0.002562999725341797
1,4,1,0,0.2,1.0,0.3333333333333333,0.005234241485595703
1,3,2,0,0.25,1.0,0.4,0.0025234222412109375
1,3,2,0,0.25,1.0,0.4,0.0070362091064453125
1,3,2,0,0.25,1.0,0.4,0.0015003681182861328
0,1,4,1,0.0,0.0,0.0,0.0025026798248291016
1,1,4,0,0.5,1.0,0.6666666666666666,0.0025343894958496094
1,2,3,0,0.3333333333333333,1.0,0.5,0.0017545223236083984
0,3,2,1,0.0,0.0,0.0,0.0025339126586914062
1,3,2,0,0.25,1.0,0.4,0.002467632293701172
0,3,2,1,0.0,0.0,0.0,0.0035376548767089844
1,3,2,0,0.25,1.0,0.4,0.003635883331298828
1,3,2,0,0.25,1.0,0.4,0.010876655578613281
1,2,3,0,0.3333333333333333,1.0,0.5,0.0016274452209472656
0,3,2,1,0.0,0.0,0.0,0.0016973018646240234
0,4,1,1,0.0,0.0,0.0,0.0017178058624267578
1,1,4,0,0.5,1.0,0.6666666666666666,0.0013556480407714844
1,1,4,0,0.5,1.0,0.6666666666666666,0.0038857460021972656
1,4,1,0,0.2,1.0,0.3333333333333333,0.0014452934265136719
0,2,3,1,0.0,0.0,0.0,0.0015828609466552734
0,2,3,1,0.0,0.0,0.0,0.005160331726074219
1,4,1,0,0.2,1.0,0.3333333333333333,0.0013365745544433594
1,3,2,0,0.25,1.0,0.4,0.0013134479522705078
0,2,3,1,0.0,0.0,0.0,0.002283334732055664
1,3,2,0,0.25,1.0,0.4,0.002926349639892578
1,0,5,0,1.0,1.0,1.0,0.0017347335815429688
0,4,1,1,0.0,0.0,0.0,0.0014808177947998047
1,4,1,0,0.2,1.0,0.3333333333333333,0.0026657581329345703
1,2,3,0,0.3333333333333333,1.0,0.5,0.00167083740234375
0,5,0,1,0.0,0.0,0.0,0.004526376724243164
0,3,2,1,0.0,0.0,0.0,0.0015413761138916016
0,4,1,1,0.0,0.0,0.0,0.0013318061828613281
0,2,3,1,0.0,0.0,0.0,0.0016477108001708984
1,3,2,0,0.25,1.0,0.4,0.001455068588256836
0,5,0,1,0.0,0.0,0.0,0.0014386177062988281
0,3,2,1,0.0,0.0,0.0,0.0033664703369140625
0,5,0,1,0.0,0.0,0.0,0.0027992725372314453
1,3,2,0,0.25,1.0,0.4,0.001369476318359375
0,3,2,1,0.0,0.0,0.0,0.0017468929290771484
1,2,3,0,0.3333333333333333,1.0,0.5,0.001733541488647461
0,3,2,1,0.0,0.0,0.0,0.005194664001464844
1,3,2,0,0.25,1.0,0.4,0.006352901458740234
0,3,2,1,0.0,0.0,0.0,0.003603219985961914
1,2,3,0,0.3333333333333333,1.0,0.5,0.0014376640319824219
1,3,2,0,0.25,1.0,0.4,0.002633810043334961
0,3,2,1,0.0,0.0,0.0,0.0016934871673583984
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.0013422966003417969
0,3,2,1,0.0,0.0,0.0,0.0014243125915527344
0,2,3,1,0.0,0.0,0.0,0.0034046173095703125
1,3,2,0,0.25,1.0,0.4,0.005104541778564453
1,3,2,0,0.25,1.0,0.4,0.001451253890991211
1,3,2,0,0.25,1.0,0.4,0.0015568733215332031
1,4,1,0,0.2,1.0,0.3333333333333333,0.0016274452209472656
