duration,f1_score,count
50,0.0,675
50,1.0,127
50,0.6666666666666666,134
50,0.4,7
50,0.5,51
75,0.0,374
75,1.0,57
75,0.6666666666666666,67
75,0.5,26
75,0.4,1
25,0.0,1621
25,1.0,195
25,0.6666666666666666,300
25,0.5,199
25,0.4,62
25,0.2857142857142857,1
25,0.3333333333333333,6
100,0.0,192
100,0.4,1
100,0.6666666666666666,45
100,0.5,8
100,1.0,43
100,0.3333333333333333,1
150,0.0,45
150,0.5,4
150,1.0,15
150,0.6666666666666666,5
225,0.0,9
225,1.0,2
225,0.6666666666666666,1
125,0.0,92
125,1.0,18
125,0.6666666666666666,15
200,0.0,28
200,1.0,2
175,1.0,5
175,0.0,31
175,0.6666666666666666,2
175,0.5,1
71,0.0,1
250,0.0,8
250,1.0,1
375,0.0,1
48,0.0,1
275,1.0,2
275,0.0,3
69,0.0,1
300,0.0,3
