tp,fp,tn,fn,precision,recall,f1_score,runtime
0,0,5,1,0,0.0,0.0,36.17443323135376
0,0,5,1,0,0.0,0.0,36.97479724884033
1,0,5,0,1.0,1.0,1.0,35.96192169189453
0,0,5,1,0,0.0,0.0,35.507185220718384
0,0,5,1,0,0.0,0.0,36.94246864318848
0,0,5,1,0,0.0,0.0,37.128339767456055
0,0,5,1,0,0.0,0.0,36.555737257003784
0,0,5,1,0,0.0,0.0,36.64718818664551
0,1,4,1,0.0,0.0,0.0,36.58456373214722
0,1,4,1,0.0,0.0,0.0,36.566401958465576
0,0,5,1,0,0.0,0.0,35.912636518478394
0,2,3,1,0.0,0.0,0.0,37.19952034950256
0,0,5,1,0,0.0,0.0,36.13248300552368
0,3,2,1,0.0,0.0,0.0,36.581419229507446
1,1,4,0,0.5,1.0,0.6666666666666666,37.810962200164795
0,0,5,1,0,0.0,0.0,35.81599569320679
1,0,5,0,1.0,1.0,1.0,35.77286648750305
0,1,4,1,0.0,0.0,0.0,36.82184433937073
1,0,5,0,1.0,1.0,1.0,36.62769842147827
0,1,4,1,0.0,0.0,0.0,36.8790864944458
0,0,5,1,0,0.0,0.0,37.86110734939575
0,0,5,1,0,0.0,0.0,35.68757629394531
0,0,5,1,0,0.0,0.0,36.67017149925232
1,2,3,0,0.3333333333333333,1.0,0.5,36.75620245933533
0,0,5,1,0,0.0,0.0,35.9079155921936
0,1,4,1,0.0,0.0,0.0,36.59159016609192
0,0,5,1,0,0.0,0.0,36.349000215530396
0,0,5,1,0,0.0,0.0,36.27467942237854
0,0,5,1,0,0.0,0.0,36.078317165374756
0,1,4,1,0.0,0.0,0.0,36.95558762550354
0,0,5,1,0,0.0,0.0,35.9008514881134
0,0,5,1,0,0.0,0.0,37.062535524368286
1,0,5,0,1.0,1.0,1.0,35.76001954078674
0,0,5,1,0,0.0,0.0,36.29976272583008
1,0,5,0,1.0,1.0,1.0,36.14707589149475
0,1,4,1,0.0,0.0,0.0,37.169371128082275
0,0,5,1,0,0.0,0.0,36.816691160202026
0,1,4,1,0.0,0.0,0.0,36.07065987586975
0,0,5,1,0,0.0,0.0,35.71654462814331
0,1,4,1,0.0,0.0,0.0,37.32293748855591
1,0,5,0,1.0,1.0,1.0,37.26777768135071
0,0,5,1,0,0.0,0.0,35.71486830711365
1,0,5,0,1.0,1.0,1.0,36.690218448638916
1,0,5,0,1.0,1.0,1.0,37.095324993133545
0,0,5,1,0,0.0,0.0,36.77593231201172
0,2,3,1,0.0,0.0,0.0,36.31568098068237
0,1,4,1,0.0,0.0,0.0,36.32147836685181
0,1,4,1,0.0,0.0,0.0,37.20367097854614
0,2,3,1,0.0,0.0,0.0,36.441378116607666
0,1,4,1,0.0,0.0,0.0,36.57745099067688
0,0,5,1,0,0.0,0.0,36.17277956008911
0,0,5,1,0,0.0,0.0,37.22926163673401
1,0,5,0,1.0,1.0,1.0,36.7556209564209
1,0,5,0,1.0,1.0,1.0,37.276899576187134
0,0,5,1,0,0.0,0.0,37.153905630111694
0,0,5,1,0,0.0,0.0,36.67184805870056
1,0,5,0,1.0,1.0,1.0,36.762298822402954
0,0,5,1,0,0.0,0.0,36.65098977088928
0,0,5,1,0,0.0,0.0,37.66723608970642
0,0,5,1,0,0.0,0.0,35.83954644203186
1,0,5,0,1.0,1.0,1.0,36.90814447402954
1,0,5,0,1.0,1.0,1.0,36.389031171798706
0,0,5,1,0,0.0,0.0,37.137627601623535
0,0,5,1,0,0.0,0.0,36.798933029174805
0,0,5,1,0,0.0,0.0,37.039515018463135
0,0,5,1,0,0.0,0.0,37.113274812698364
0,1,4,1,0.0,0.0,0.0,36.87493920326233
0,0,5,1,0,0.0,0.0,35.68401312828064
1,0,5,0,1.0,1.0,1.0,37.19306015968323
0,0,5,1,0,0.0,0.0,35.72635555267334
0,0,5,1,0,0.0,0.0,36.88762450218201
1,0,5,0,1.0,1.0,1.0,37.873573541641235
1,0,5,0,1.0,1.0,1.0,36.61894750595093
0,0,5,1,0,0.0,0.0,37.0746374130249
0,0,5,1,0,0.0,0.0,37.10086536407471
1,1,4,0,0.5,1.0,0.6666666666666666,36.53321146965027
0,0,5,1,0,0.0,0.0,37.39967346191406
0,0,5,1,0,0.0,0.0,36.20742058753967
0,1,4,1,0.0,0.0,0.0,36.50384831428528
0,0,5,1,0,0.0,0.0,36.64153742790222
0,0,5,1,0,0.0,0.0,36.71586060523987
0,1,4,1,0.0,0.0,0.0,36.27483129501343
0,2,3,1,0.0,0.0,0.0,37.00795245170593
0,1,4,1,0.0,0.0,0.0,36.976118087768555
0,0,5,1,0,0.0,0.0,36.13798522949219
0,0,5,1,0,0.0,0.0,36.92672824859619
1,0,5,0,1.0,1.0,1.0,35.5104866027832
0,0,5,1,0,0.0,0.0,36.671576261520386
0,0,5,1,0,0.0,0.0,36.4316611289978
0,0,5,1,0,0.0,0.0,36.827906131744385
1,0,5,0,1.0,1.0,1.0,36.847662687301636
0,1,4,1,0.0,0.0,0.0,36.3055956363678
0,0,5,1,0,0.0,0.0,36.40767979621887
1,0,5,0,1.0,1.0,1.0,37.627418518066406
1,0,5,0,1.0,1.0,1.0,37.58176040649414
1,1,4,0,0.5,1.0,0.6666666666666666,36.745338916778564
0,0,5,1,0,0.0,0.0,37.186129570007324
0,0,5,1,0,0.0,0.0,36.41162323951721
0,0,5,1,0,0.0,0.0,36.43500590324402
0,2,3,1,0.0,0.0,0.0,36.37016844749451
