tp,fp,tn,fn,precision,recall,f1_score,runtime
1,2,3,0,0.3333333333333333,1.0,0.5,0.43572306632995605
1,0,5,0,1.0,1.0,1.0,0.4862387180328369
1,0,5,0,1.0,1.0,1.0,0.5547645092010498
0,0,5,1,0,0.0,0.0,0.337540864944458
1,1,4,0,0.5,1.0,0.6666666666666666,0.3854200839996338
1,4,1,0,0.2,1.0,0.3333333333333333,0.3556981086730957
0,0,5,1,0,0.0,0.0,0.004518747329711914
1,1,4,0,0.5,1.0,0.6666666666666666,0.5340099334716797
1,0,5,0,1.0,1.0,1.0,0.45903730392456055
1,0,5,0,1.0,1.0,1.0,0.4385838508605957
1,1,4,0,0.5,1.0,0.6666666666666666,0.5156877040863037
1,2,3,0,0.3333333333333333,1.0,0.5,0.3588099479675293
0,0,5,1,0,0.0,0.0,0.004228115081787109
0,3,2,1,0.0,0.0,0.0,0.3351311683654785
0,4,1,1,0.0,0.0,0.0,0.32031726837158203
1,1,4,0,0.5,1.0,0.6666666666666666,0.55106520652771
0,1,4,1,0.0,0.0,0.0,0.37596964836120605
1,0,5,0,1.0,1.0,1.0,0.42782068252563477
1,1,4,0,0.5,1.0,0.6666666666666666,0.34183478355407715
1,2,3,0,0.3333333333333333,1.0,0.5,0.3390331268310547
0,2,3,1,0.0,0.0,0.0,0.37915992736816406
0,2,3,1,0.0,0.0,0.0,0.27915167808532715
1,0,5,0,1.0,1.0,1.0,0.41762351989746094
1,1,4,0,0.5,1.0,0.6666666666666666,0.3734152317047119
1,1,4,0,0.5,1.0,0.6666666666666666,0.30858564376831055
0,0,5,1,0,0.0,0.0,0.28199028968811035
1,1,4,0,0.5,1.0,0.6666666666666666,0.3994102478027344
1,0,5,0,1.0,1.0,1.0,0.3307807445526123
1,1,4,0,0.5,1.0,0.6666666666666666,0.5069739818572998
0,1,4,1,0.0,0.0,0.0,0.2974586486816406
0,2,3,1,0.0,0.0,0.0,0.38262081146240234
0,2,3,1,0.0,0.0,0.0,0.2839934825897217
0,2,3,1,0.0,0.0,0.0,0.44932126998901367
1,1,4,0,0.5,1.0,0.6666666666666666,0.45699357986450195
0,0,5,1,0,0.0,0.0,0.004567146301269531
1,0,5,0,1.0,1.0,1.0,0.6305692195892334
1,3,2,0,0.25,1.0,0.4,0.37389445304870605
1,0,5,0,1.0,1.0,1.0,0.4537501335144043
1,0,5,0,1.0,1.0,1.0,0.6852822303771973
1,1,4,0,0.5,1.0,0.6666666666666666,0.4124622344970703
1,1,4,0,0.5,1.0,0.6666666666666666,0.5928349494934082
1,1,4,0,0.5,1.0,0.6666666666666666,0.5175600051879883
0,0,5,1,0,0.0,0.0,0.3170197010040283
1,0,5,0,1.0,1.0,1.0,0.45751380920410156
1,1,4,0,0.5,1.0,0.6666666666666666,0.37522268295288086
1,0,5,0,1.0,1.0,1.0,0.473909854888916
0,1,4,1,0.0,0.0,0.0,0.37059760093688965
1,2,3,0,0.3333333333333333,1.0,0.5,0.4216477870941162
1,2,3,0,0.3333333333333333,1.0,0.5,0.40578413009643555
1,0,5,0,1.0,1.0,1.0,0.5116972923278809
0,0,5,1,0,0.0,0.0,0.3660757541656494
0,3,2,1,0.0,0.0,0.0,0.4523599147796631
1,1,4,0,0.5,1.0,0.6666666666666666,0.5131900310516357
1,1,4,0,0.5,1.0,0.6666666666666666,0.4286794662475586
0,1,4,1,0.0,0.0,0.0,0.6956279277801514
0,1,4,1,0.0,0.0,0.0,0.3451049327850342
1,0,5,0,1.0,1.0,1.0,0.33032989501953125
1,1,4,0,0.5,1.0,0.6666666666666666,0.4689059257507324
1,1,4,0,0.5,1.0,0.6666666666666666,0.3766615390777588
1,0,5,0,1.0,1.0,1.0,0.3071126937866211
1,0,5,0,1.0,1.0,1.0,0.5294926166534424
1,0,5,0,1.0,1.0,1.0,0.5118410587310791
1,4,1,0,0.2,1.0,0.3333333333333333,0.32268238067626953
1,1,4,0,0.5,1.0,0.6666666666666666,0.5419878959655762
1,1,4,0,0.5,1.0,0.6666666666666666,0.3381624221801758
1,1,4,0,0.5,1.0,0.6666666666666666,0.35801243782043457
1,1,4,0,0.5,1.0,0.6666666666666666,0.48833489418029785
1,2,3,0,0.3333333333333333,1.0,0.5,0.6131951808929443
0,1,4,1,0.0,0.0,0.0,0.3914952278137207
1,2,3,0,0.3333333333333333,1.0,0.5,0.31596922874450684
1,0,5,0,1.0,1.0,1.0,0.4259340763092041
1,2,3,0,0.3333333333333333,1.0,0.5,0.40817832946777344
1,1,4,0,0.5,1.0,0.6666666666666666,0.514937162399292
1,1,4,0,0.5,1.0,0.6666666666666666,0.391951322555542
1,4,1,0,0.2,1.0,0.3333333333333333,0.3330991268157959
0,0,5,1,0,0.0,0.0,0.44808411598205566
0,2,3,1,0.0,0.0,0.0,0.43260669708251953
0,1,4,1,0.0,0.0,0.0,0.3737621307373047
0,0,5,1,0,0.0,0.0,0.5104086399078369
0,0,5,1,0,0.0,0.0,0.4668149948120117
1,0,5,0,1.0,1.0,1.0,0.41489124298095703
1,1,4,0,0.5,1.0,0.6666666666666666,0.42364978790283203
1,1,4,0,0.5,1.0,0.6666666666666666,0.3963356018066406
1,0,5,0,1.0,1.0,1.0,0.4212462902069092
1,0,5,0,1.0,1.0,1.0,0.3343358039855957
1,3,2,0,0.25,1.0,0.4,0.42392444610595703
1,2,3,0,0.3333333333333333,1.0,0.5,0.4811728000640869
1,2,3,0,0.3333333333333333,1.0,0.5,0.3839302062988281
1,0,5,0,1.0,1.0,1.0,0.6486279964447021
1,4,1,0,0.2,1.0,0.3333333333333333,0.3019754886627197
0,2,3,1,0.0,0.0,0.0,0.4827919006347656
1,1,4,0,0.5,1.0,0.6666666666666666,0.4261033535003662
1,2,3,0,0.3333333333333333,1.0,0.5,0.3829948902130127
1,4,1,0,0.2,1.0,0.3333333333333333,0.3466970920562744
