tp,fp,tn,fn,precision,recall,f1_score,runtime
1,4,1,0,0.2,1.0,0.3333333333333333,0.006175994873046875
1,3,2,0,0.25,1.0,0.4,0.005011558532714844
0,2,3,1,0.0,0.0,0.0,0.003361225128173828
1,3,2,0,0.25,1.0,0.4,0.008385181427001953
1,1,4,0,0.5,1.0,0.6666666666666666,0.0048029422760009766
1,1,4,0,0.5,1.0,0.6666666666666666,0.009235858917236328
0,2,3,1,0.0,0.0,0.0,0.007067680358886719
0,4,1,1,0.0,0.0,0.0,0.004951953887939453
0,2,3,1,0.0,0.0,0.0,0.007494926452636719
1,1,4,0,0.5,1.0,0.6666666666666666,0.009090423583984375
1,1,4,0,0.5,1.0,0.6666666666666666,0.004748344421386719
0,3,2,1,0.0,0.0,0.0,0.00934910774230957
0,3,2,1,0.0,0.0,0.0,0.0019702911376953125
0,4,1,1,0.0,0.0,0.0,0.0018177032470703125
1,2,3,0,0.3333333333333333,1.0,0.5,0.007883310317993164
0,3,2,1,0.0,0.0,0.0,0.005692243576049805
1,4,1,0,0.2,1.0,0.3333333333333333,0.002702474594116211
1,2,3,0,0.3333333333333333,1.0,0.5,0.004082202911376953
1,1,4,0,0.5,1.0,0.6666666666666666,0.007658720016479492
0,1,4,1,0.0,0.0,0.0,0.004264116287231445
1,2,3,0,0.3333333333333333,1.0,0.5,0.0023679733276367188
1,2,3,0,0.3333333333333333,1.0,0.5,0.002846956253051758
0,2,3,1,0.0,0.0,0.0,0.003561258316040039
1,2,3,0,0.3333333333333333,1.0,0.5,0.0008106231689453125
0,2,3,1,0.0,0.0,0.0,0.0060040950775146484
0,3,2,1,0.0,0.0,0.0,0.0033233165740966797
0,3,2,1,0.0,0.0,0.0,0.0032989978790283203
0,2,3,1,0.0,0.0,0.0,0.005877256393432617
1,3,2,0,0.25,1.0,0.4,0.0068356990814208984
0,1,4,1,0.0,0.0,0.0,0.007240772247314453
1,3,2,0,0.25,1.0,0.4,0.0029523372650146484
0,3,2,1,0.0,0.0,0.0,0.00433349609375
0,3,2,1,0.0,0.0,0.0,0.0008952617645263672
0,3,2,1,0.0,0.0,0.0,0.004288911819458008
0,1,4,1,0.0,0.0,0.0,0.0063097476959228516
1,2,3,0,0.3333333333333333,1.0,0.5,0.006635189056396484
0,2,3,1,0.0,0.0,0.0,0.004599094390869141
1,2,3,0,0.3333333333333333,1.0,0.5,0.004595041275024414
0,2,3,1,0.0,0.0,0.0,0.002794027328491211
0,3,2,1,0.0,0.0,0.0,0.00177764892578125
0,4,1,1,0.0,0.0,0.0,0.0026226043701171875
1,0,5,0,1.0,1.0,1.0,0.003148317337036133
0,2,3,1,0.0,0.0,0.0,0.00874638557434082
0,2,3,1,0.0,0.0,0.0,0.0063512325286865234
0,3,2,1,0.0,0.0,0.0,0.005492448806762695
0,2,3,1,0.0,0.0,0.0,0.0020465850830078125
0,2,3,1,0.0,0.0,0.0,0.0020110607147216797
