tp,fp,tn,fn,precision,recall,f1_score,runtime
1,1,4,0,0.5,1.0,0.6666666666666666,35.89311385154724
0,2,3,1,0.0,0.0,0.0,35.21878385543823
0,2,3,1,0.0,0.0,0.0,36.10621166229248
0,2,3,1,0.0,0.0,0.0,35.35785937309265
1,2,3,0,0.3333333333333333,1.0,0.5,36.056968688964844
1,2,3,0,0.3333333333333333,1.0,0.5,34.78391361236572
0,3,2,1,0.0,0.0,0.0,35.376683712005615
0,3,2,1,0.0,0.0,0.0,34.94484901428223
1,3,2,0,0.25,1.0,0.4,34.82740116119385
0,2,3,1,0.0,0.0,0.0,35.65915369987488
0,1,4,1,0.0,0.0,0.0,35.48192739486694
1,0,5,0,1.0,1.0,1.0,34.819178342819214
1,1,4,0,0.5,1.0,0.6666666666666666,34.90434122085571
1,2,3,0,0.3333333333333333,1.0,0.5,34.98312783241272
1,2,3,0,0.3333333333333333,1.0,0.5,35.77172040939331
0,1,4,1,0.0,0.0,0.0,34.995450258255005
1,2,3,0,0.3333333333333333,1.0,0.5,35.35527062416077
0,1,4,1,0.0,0.0,0.0,35.00957369804382
0,2,3,1,0.0,0.0,0.0,34.95519661903381
0,3,2,1,0.0,0.0,0.0,34.8903431892395
0,2,3,1,0.0,0.0,0.0,36.08417534828186
1,1,4,0,0.5,1.0,0.6666666666666666,35.69204306602478
0,4,1,1,0.0,0.0,0.0,35.26889133453369
1,3,2,0,0.25,1.0,0.4,36.1295952796936
0,1,4,1,0.0,0.0,0.0,35.37319612503052
0,3,2,1,0.0,0.0,0.0,35.03332567214966
1,1,4,0,0.5,1.0,0.6666666666666666,35.523316621780396
1,1,4,0,0.5,1.0,0.6666666666666666,34.80212187767029
1,2,3,0,0.3333333333333333,1.0,0.5,35.15606641769409
1,2,3,0,0.3333333333333333,1.0,0.5,35.05782890319824
0,2,3,1,0.0,0.0,0.0,35.017948150634766
1,2,3,0,0.3333333333333333,1.0,0.5,34.94704627990723
0,2,3,1,0.0,0.0,0.0,35.948792934417725
0,3,2,1,0.0,0.0,0.0,35.091803789138794
0,1,4,1,0.0,0.0,0.0,35.05448532104492
1,1,4,0,0.5,1.0,0.6666666666666666,35.70555830001831
0,3,2,1,0.0,0.0,0.0,34.81641864776611
1,0,5,0,1.0,1.0,1.0,36.570003271102905
0,2,3,1,0.0,0.0,0.0,35.13727688789368
1,0,5,0,1.0,1.0,1.0,35.71852397918701
1,2,3,0,0.3333333333333333,1.0,0.5,35.799670934677124
0,2,3,1,0.0,0.0,0.0,35.75219488143921
0,4,1,1,0.0,0.0,0.0,34.82416844367981
0,3,2,1,0.0,0.0,0.0,34.99177527427673
1,1,4,0,0.5,1.0,0.6666666666666666,35.031410694122314
1,3,2,0,0.25,1.0,0.4,34.86711287498474
0,2,3,1,0.0,0.0,0.0,34.99086809158325
1,2,3,0,0.3333333333333333,1.0,0.5,34.97145915031433
1,0,5,0,1.0,1.0,1.0,34.84666442871094
0,1,4,1,0.0,0.0,0.0,34.88133525848389
1,0,5,0,1.0,1.0,1.0,34.782676458358765
0,2,3,1,0.0,0.0,0.0,35.460927963256836
1,3,2,0,0.25,1.0,0.4,34.900561809539795
1,3,2,0,0.25,1.0,0.4,35.41592049598694
0,2,3,1,0.0,0.0,0.0,35.42265295982361
1,2,3,0,0.3333333333333333,1.0,0.5,35.561418533325195
1,4,1,0,0.2,1.0,0.3333333333333333,35.39676260948181
0,3,2,1,0.0,0.0,0.0,35.50328612327576
1,1,4,0,0.5,1.0,0.6666666666666666,35.32255792617798
0,2,3,1,0.0,0.0,0.0,35.420799016952515
1,0,5,0,1.0,1.0,1.0,34.830766916275024
1,1,4,0,0.5,1.0,0.6666666666666666,35.525455951690674
1,2,3,0,0.3333333333333333,1.0,0.5,35.89723873138428
0,2,3,1,0.0,0.0,0.0,35.451287508010864
0,3,2,1,0.0,0.0,0.0,35.76159644126892
0,1,4,1,0.0,0.0,0.0,35.95464110374451
1,2,3,0,0.3333333333333333,1.0,0.5,34.74822473526001
1,1,4,0,0.5,1.0,0.6666666666666666,35.05156755447388
1,2,3,0,0.3333333333333333,1.0,0.5,35.11353635787964
1,1,4,0,0.5,1.0,0.6666666666666666,35.955368995666504
1,2,3,0,0.3333333333333333,1.0,0.5,35.81487989425659
0,3,2,1,0.0,0.0,0.0,35.52681565284729
1,3,2,0,0.25,1.0,0.4,36.28626084327698
1,2,3,0,0.3333333333333333,1.0,0.5,35.04384136199951
0,2,3,1,0.0,0.0,0.0,35.678855180740356
1,0,5,0,1.0,1.0,1.0,34.76822113990784
1,2,3,0,0.3333333333333333,1.0,0.5,35.18207573890686
1,0,5,0,1.0,1.0,1.0,35.39931607246399
1,3,2,0,0.25,1.0,0.4,34.88272428512573
0,2,3,1,0.0,0.0,0.0,36.50388789176941
1,1,4,0,0.5,1.0,0.6666666666666666,34.85443568229675
1,1,4,0,0.5,1.0,0.6666666666666666,34.93119812011719
0,1,4,1,0.0,0.0,0.0,35.589232444763184
0,3,2,1,0.0,0.0,0.0,35.67228174209595
0,3,2,1,0.0,0.0,0.0,34.95925712585449
0,2,3,1,0.0,0.0,0.0,35.834869623184204
1,3,2,0,0.25,1.0,0.4,35.31259107589722
1,2,3,0,0.3333333333333333,1.0,0.5,34.79481482505798
0,2,3,1,0.0,0.0,0.0,34.97690773010254
0,2,3,1,0.0,0.0,0.0,35.04323625564575
1,2,3,0,0.3333333333333333,1.0,0.5,35.44332504272461
0,2,3,1,0.0,0.0,0.0,34.892133951187134
0,1,4,1,0.0,0.0,0.0,35.086198806762695
1,2,3,0,0.3333333333333333,1.0,0.5,34.759544134140015
1,3,2,0,0.25,1.0,0.4,34.67834424972534
0,1,4,1,0.0,0.0,0.0,34.863972663879395
0,0,5,1,0,0.0,0.0,35.38205027580261
1,2,3,0,0.3333333333333333,1.0,0.5,34.756333112716675
0,2,3,1,0.0,0.0,0.0,34.74940490722656
0,3,2,1,0.0,0.0,0.0,36.0216383934021
