tp,fp,tn,fn,precision,recall,f1_score,runtime
1,3,2,0,0.25,1.0,0.4,0.37898850440979004
1,2,3,0,0.3333333333333333,1.0,0.5,0.3415200710296631
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.47882604598999023
1,1,4,0,0.5,1.0,0.6666666666666666,0.32911157608032227
1,0,5,0,1.0,1.0,1.0,0.4557933807373047
1,4,1,0,0.2,1.0,0.3333333333333333,0.3697998523712158
1,4,1,0,0.2,1.0,0.3333333333333333,0.43407511711120605
1,3,2,0,0.25,1.0,0.4,0.34009480476379395
1,2,3,0,0.3333333333333333,1.0,0.5,0.38147854804992676
1,2,3,0,0.3333333333333333,1.0,0.5,0.4830594062805176
1,1,4,0,0.5,1.0,0.6666666666666666,0.3895084857940674
1,3,2,0,0.25,1.0,0.4,0.39490294456481934
1,2,3,0,0.3333333333333333,1.0,0.5,0.4326932430267334
1,4,1,0,0.2,1.0,0.3333333333333333,0.5295023918151855
1,3,2,0,0.25,1.0,0.4,0.6125266551971436
1,3,2,0,0.25,1.0,0.4,0.4112122058868408
1,4,1,0,0.2,1.0,0.3333333333333333,0.37828683853149414
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.736691951751709
1,4,1,0,0.2,1.0,0.3333333333333333,0.4227414131164551
1,1,4,0,0.5,1.0,0.6666666666666666,0.40238285064697266
1,3,2,0,0.25,1.0,0.4,0.41857290267944336
1,3,2,0,0.25,1.0,0.4,0.3476085662841797
1,3,2,0,0.25,1.0,0.4,0.3963897228240967
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.4648592472076416
1,2,3,0,0.3333333333333333,1.0,0.5,0.371539831161499
1,2,3,0,0.3333333333333333,1.0,0.5,0.4547872543334961
1,2,3,0,0.3333333333333333,1.0,0.5,0.37151622772216797
1,2,3,0,0.3333333333333333,1.0,0.5,0.43027687072753906
1,2,3,0,0.3333333333333333,1.0,0.5,0.4082164764404297
1,4,1,0,0.2,1.0,0.3333333333333333,0.37023138999938965
1,1,4,0,0.5,1.0,0.6666666666666666,0.31380152702331543
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.48694443702697754
1,0,5,0,1.0,1.0,1.0,0.4110713005065918
0,3,2,1,0.0,0.0,0.0,0.3554985523223877
0,2,3,1,0.0,0.0,0.0,0.3709733486175537
1,1,4,0,0.5,1.0,0.6666666666666666,0.3801894187927246
