tp,fp,tn,fn,precision,recall,f1_score,runtime
1,3,2,0,0.25,1.0,0.4,0.01017618179321289
0,2,3,1,0.0,0.0,0.0,0.010244131088256836
0,3,2,1,0.0,0.0,0.0,0.010235071182250977
1,2,3,0,0.3333333333333333,1.0,0.5,0.013246536254882812
0,2,3,1,0.0,0.0,0.0,0.009927034378051758
0,1,4,1,0.0,0.0,0.0,0.010150432586669922
1,3,2,0,0.25,1.0,0.4,0.010011911392211914
0,3,2,1,0.0,0.0,0.0,0.010176420211791992
1,3,2,0,0.25,1.0,0.4,0.01003122329711914
1,2,3,0,0.3333333333333333,1.0,0.5,0.010105371475219727
0,1,4,1,0.0,0.0,0.0,0.010112285614013672
0,3,2,1,0.0,0.0,0.0,0.010237455368041992
0,1,4,1,0.0,0.0,0.0,0.01017141342163086
0,1,4,1,0.0,0.0,0.0,0.010212421417236328
1,0,5,0,1.0,1.0,1.0,0.010189533233642578
1,2,3,0,0.3333333333333333,1.0,0.5,0.009979724884033203
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.01017308235168457
1,2,3,0,0.3333333333333333,1.0,0.5,0.010029315948486328
0,3,2,1,0.0,0.0,0.0,0.010265350341796875
1,3,2,0,0.25,1.0,0.4,0.010135173797607422
0,2,3,1,0.0,0.0,0.0,0.010093450546264648
0,0,5,1,0,0.0,0.0,0.010385990142822266
1,3,2,0,0.25,1.0,0.4,0.010087966918945312
1,2,3,0,0.3333333333333333,1.0,0.5,0.009938478469848633
1,1,4,0,0.5,1.0,0.6666666666666666,0.010142326354980469
0,0,5,1,0,0.0,0.0,0.010207653045654297
0,2,3,1,0.0,0.0,0.0,0.010109901428222656
0,0,5,1,0,0.0,0.0,0.01017451286315918
1,2,3,0,0.3333333333333333,1.0,0.5,0.010217666625976562
1,4,1,0,0.2,1.0,0.3333333333333333,0.01009225845336914
1,3,2,0,0.25,1.0,0.4,0.010228157043457031
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.010272502899169922
1,2,3,0,0.3333333333333333,1.0,0.5,0.01008749008178711
1,3,2,0,0.25,1.0,0.4,0.010072469711303711
1,4,1,0,0.2,1.0,0.3333333333333333,0.010226249694824219
0,2,3,1,0.0,0.0,0.0,0.01026606559753418
1,1,4,0,0.5,1.0,0.6666666666666666,0.010051250457763672
0,2,3,1,0.0,0.0,0.0,0.010108232498168945
0,3,2,1,0.0,0.0,0.0,0.009860515594482422
1,3,2,0,0.25,1.0,0.4,0.010299921035766602
0,2,3,1,0.0,0.0,0.0,0.010136604309082031
0,3,2,1,0.0,0.0,0.0,0.010236501693725586
1,2,3,0,0.3333333333333333,1.0,0.5,0.009989738464355469
0,2,3,1,0.0,0.0,0.0,0.009955883026123047
0,3,2,1,0.0,0.0,0.0,0.010143280029296875
1,1,4,0,0.5,1.0,0.6666666666666666,0.010141849517822266
1,4,1,0,0.2,1.0,0.3333333333333333,0.010272741317749023
0,3,2,1,0.0,0.0,0.0,0.01022195816040039
1,4,1,0,0.2,1.0,0.3333333333333333,0.010025262832641602
1,4,1,0,0.2,1.0,0.3333333333333333,0.010051727294921875
1,3,2,0,0.25,1.0,0.4,0.01014256477355957
1,2,3,0,0.3333333333333333,1.0,0.5,0.010233163833618164
1,2,3,0,0.3333333333333333,1.0,0.5,0.010280609130859375
0,2,3,1,0.0,0.0,0.0,0.010034322738647461
0,3,2,1,0.0,0.0,0.0,0.010125160217285156
0,3,2,1,0.0,0.0,0.0,0.010049819946289062
1,3,2,0,0.25,1.0,0.4,0.010055780410766602
0,3,2,1,0.0,0.0,0.0,0.009984731674194336
0,3,2,1,0.0,0.0,0.0,0.0099945068359375
1,2,3,0,0.3333333333333333,1.0,0.5,0.009998083114624023
1,2,3,0,0.3333333333333333,1.0,0.5,0.010084867477416992
0,3,2,1,0.0,0.0,0.0,0.010166645050048828
1,1,4,0,0.5,1.0,0.6666666666666666,0.01007986068725586
0,1,4,1,0.0,0.0,0.0,0.010100364685058594
1,0,5,0,1.0,1.0,1.0,0.010069608688354492
1,2,3,0,0.3333333333333333,1.0,0.5,0.010106325149536133
0,2,3,1,0.0,0.0,0.0,0.010251283645629883
1,3,2,0,0.25,1.0,0.4,0.01006317138671875
0,3,2,1,0.0,0.0,0.0,0.010047674179077148
0,3,2,1,0.0,0.0,0.0,0.010204076766967773
1,3,2,0,0.25,1.0,0.4,0.010381460189819336
1,4,1,0,0.2,1.0,0.3333333333333333,0.01009988784790039
1,2,3,0,0.3333333333333333,1.0,0.5,0.010114192962646484
1,0,5,0,1.0,1.0,1.0,0.010128498077392578
0,2,3,1,0.0,0.0,0.0,0.010092020034790039
1,1,4,0,0.5,1.0,0.6666666666666666,0.01020503044128418
0,4,1,1,0.0,0.0,0.0,0.010175228118896484
0,3,2,1,0.0,0.0,0.0,0.010215997695922852
0,3,2,1,0.0,0.0,0.0,0.010130882263183594
1,2,3,0,0.3333333333333333,1.0,0.5,0.010175704956054688
0,2,3,1,0.0,0.0,0.0,0.010051488876342773
1,3,2,0,0.25,1.0,0.4,0.01023721694946289
1,2,3,0,0.3333333333333333,1.0,0.5,0.010250568389892578
0,2,3,1,0.0,0.0,0.0,0.010402441024780273
1,2,3,0,0.3333333333333333,1.0,0.5,0.010124921798706055
0,2,3,1,0.0,0.0,0.0,0.010262489318847656
1,2,3,0,0.3333333333333333,1.0,0.5,0.010086774826049805
0,3,2,1,0.0,0.0,0.0,0.010261297225952148
0,2,3,1,0.0,0.0,0.0,0.010232925415039062
1,2,3,0,0.3333333333333333,1.0,0.5,0.010308027267456055
0,3,2,1,0.0,0.0,0.0,0.010182857513427734
1,2,3,0,0.3333333333333333,1.0,0.5,0.010106563568115234
1,0,5,0,1.0,1.0,1.0,0.010124444961547852
0,2,3,1,0.0,0.0,0.0,0.01006937026977539
1,3,2,0,0.25,1.0,0.4,0.01018214225769043
1,1,4,0,0.5,1.0,0.6666666666666666,0.0102691650390625
0,4,1,1,0.0,0.0,0.0,0.010221719741821289
0,3,2,1,0.0,0.0,0.0,0.010124444961547852
0,1,4,1,0.0,0.0,0.0,0.010136127471923828
1,2,3,0,0.3333333333333333,1.0,0.5,0.01018071174621582
