tp,fp,tn,fn,precision,recall,f1_score,runtime
0,3,2,1,0.0,0.0,0.0,0.002505064010620117
0,3,2,1,0.0,0.0,0.0,0.0018274784088134766
1,2,3,0,0.3333333333333333,1.0,0.5,0.002843618392944336
1,2,3,0,0.3333333333333333,1.0,0.5,0.007591724395751953
1,0,5,0,1.0,1.0,1.0,0.0041675567626953125
0,2,3,1,0.0,0.0,0.0,0.005373239517211914
0,3,2,1,0.0,0.0,0.0,0.0042188167572021484
0,3,2,1,0.0,0.0,0.0,0.003454446792602539
1,3,2,0,0.25,1.0,0.4,0.008294105529785156
1,3,2,0,0.25,1.0,0.4,0.001786947250366211
0,3,2,1,0.0,0.0,0.0,0.004232168197631836
1,1,4,0,0.5,1.0,0.6666666666666666,0.0014660358428955078
1,3,2,0,0.25,1.0,0.4,0.0044515132904052734
1,4,1,0,0.2,1.0,0.3333333333333333,0.001999378204345703
0,3,2,1,0.0,0.0,0.0,0.005033254623413086
0,2,3,1,0.0,0.0,0.0,0.004748106002807617
0,4,1,1,0.0,0.0,0.0,0.0017964839935302734
0,2,3,1,0.0,0.0,0.0,0.0029342174530029297
0,3,2,1,0.0,0.0,0.0,0.0026700496673583984
0,1,4,1,0.0,0.0,0.0,0.003747224807739258
1,2,3,0,0.3333333333333333,1.0,0.5,0.006891965866088867
1,4,1,0,0.2,1.0,0.3333333333333333,0.006402730941772461
0,3,2,1,0.0,0.0,0.0,0.0033669471740722656
1,4,1,0,0.2,1.0,0.3333333333333333,0.00180816650390625
1,3,2,0,0.25,1.0,0.4,0.004121541976928711
0,2,3,1,0.0,0.0,0.0,0.006273746490478516
1,4,1,0,0.2,1.0,0.3333333333333333,0.0044019222259521484
0,3,2,1,0.0,0.0,0.0,0.0012972354888916016
1,2,3,0,0.3333333333333333,1.0,0.5,0.003315448760986328
1,3,2,0,0.25,1.0,0.4,0.0018038749694824219
1,3,2,0,0.25,1.0,0.4,0.005314350128173828
0,3,2,1,0.0,0.0,0.0,0.003844738006591797
1,3,2,0,0.25,1.0,0.4,0.002958536148071289
0,3,2,1,0.0,0.0,0.0,0.003978252410888672
0,3,2,1,0.0,0.0,0.0,0.004566192626953125
0,1,4,1,0.0,0.0,0.0,0.006901264190673828
1,3,2,0,0.25,1.0,0.4,0.001486063003540039
1,2,3,0,0.3333333333333333,1.0,0.5,0.001678466796875
0,3,2,1,0.0,0.0,0.0,0.005253791809082031
0,3,2,1,0.0,0.0,0.0,0.006499052047729492
1,2,3,0,0.3333333333333333,1.0,0.5,0.007864236831665039
1,1,4,0,0.5,1.0,0.6666666666666666,0.00542902946472168
1,4,1,0,0.2,1.0,0.3333333333333333,0.0031785964965820312
0,4,1,1,0.0,0.0,0.0,0.005849599838256836
1,3,2,0,0.25,1.0,0.4,0.005183696746826172
1,3,2,0,0.25,1.0,0.4,0.004393815994262695
