tp,fp,tn,fn,precision,recall,f1_score,runtime
0,0,5,1,0,0.0,0.0,35.41872835159302
0,0,5,1,0,0.0,0.0,36.471309185028076
0,1,4,1,0.0,0.0,0.0,35.78166961669922
1,0,5,0,1.0,1.0,1.0,36.483747720718384
0,0,5,1,0,0.0,0.0,36.28183078765869
1,0,5,0,1.0,1.0,1.0,36.208986043930054
0,0,5,1,0,0.0,0.0,36.351415157318115
0,0,5,1,0,0.0,0.0,36.663376569747925
0,0,5,1,0,0.0,0.0,35.784647703170776
0,0,5,1,0,0.0,0.0,36.13370394706726
0,0,5,1,0,0.0,0.0,35.498350620269775
1,0,5,0,1.0,1.0,1.0,35.60550618171692
0,1,4,1,0.0,0.0,0.0,35.57783484458923
1,0,5,0,1.0,1.0,1.0,35.43324542045593
0,0,5,1,0,0.0,0.0,35.14019513130188
0,0,5,1,0,0.0,0.0,35.57076334953308
0,1,4,1,0.0,0.0,0.0,36.98257780075073
0,1,4,1,0.0,0.0,0.0,35.81540584564209
0,0,5,1,0,0.0,0.0,35.54169702529907
0,1,4,1,0.0,0.0,0.0,36.04899024963379
0,0,5,1,0,0.0,0.0,35.165847301483154
0,2,3,1,0.0,0.0,0.0,35.58508563041687
0,0,5,1,0,0.0,0.0,35.78921818733215
1,0,5,0,1.0,1.0,1.0,35.85141658782959
0,2,3,1,0.0,0.0,0.0,35.85715389251709
0,1,4,1,0.0,0.0,0.0,35.86302947998047
1,0,5,0,1.0,1.0,1.0,35.81294512748718
0,2,3,1,0.0,0.0,0.0,35.63108968734741
0,0,5,1,0,0.0,0.0,36.909319162368774
0,0,5,1,0,0.0,0.0,36.0606164932251
1,1,4,0,0.5,1.0,0.6666666666666666,35.82114315032959
0,0,5,1,0,0.0,0.0,36.98435616493225
1,0,5,0,1.0,1.0,1.0,35.81984901428223
0,0,5,1,0,0.0,0.0,36.277138233184814
0,1,4,1,0.0,0.0,0.0,35.975351095199585
1,0,5,0,1.0,1.0,1.0,36.01124024391174
1,0,5,0,1.0,1.0,1.0,35.43022418022156
1,0,5,0,1.0,1.0,1.0,35.063536643981934
0,0,5,1,0,0.0,0.0,36.51844143867493
0,0,5,1,0,0.0,0.0,36.73937010765076
1,0,5,0,1.0,1.0,1.0,35.075669288635254
0,0,5,1,0,0.0,0.0,35.56182074546814
1,1,4,0,0.5,1.0,0.6666666666666666,35.71031093597412
1,1,4,0,0.5,1.0,0.6666666666666666,36.25960087776184
0,2,3,1,0.0,0.0,0.0,36.1065890789032
0,1,4,1,0.0,0.0,0.0,35.51278495788574
1,1,4,0,0.5,1.0,0.6666666666666666,36.554936170578
0,0,5,1,0,0.0,0.0,35.860379457473755
0,0,5,1,0,0.0,0.0,35.232996463775635
0,1,4,1,0.0,0.0,0.0,35.63548016548157
1,0,5,0,1.0,1.0,1.0,35.908620834350586
1,2,3,0,0.3333333333333333,1.0,0.5,35.385194301605225
1,1,4,0,0.5,1.0,0.6666666666666666,34.918039083480835
0,1,4,1,0.0,0.0,0.0,36.58800959587097
0,1,4,1,0.0,0.0,0.0,35.865833044052124
1,0,5,0,1.0,1.0,1.0,36.64326786994934
1,0,5,0,1.0,1.0,1.0,36.19601249694824
0,0,5,1,0,0.0,0.0,36.62567114830017
0,0,5,1,0,0.0,0.0,35.43182849884033
0,1,4,1,0.0,0.0,0.0,35.09406232833862
1,0,5,0,1.0,1.0,1.0,36.71883416175842
0,0,5,1,0,0.0,0.0,35.02829194068909
0,1,4,1,0.0,0.0,0.0,35.76612710952759
0,0,5,1,0,0.0,0.0,35.97360897064209
0,1,4,1,0.0,0.0,0.0,36.782119035720825
0,0,5,1,0,0.0,0.0,35.182624101638794
1,0,5,0,1.0,1.0,1.0,36.25879383087158
1,0,5,0,1.0,1.0,1.0,35.44929552078247
0,2,3,1,0.0,0.0,0.0,35.94183135032654
0,0,5,1,0,0.0,0.0,36.04706883430481
1,0,5,0,1.0,1.0,1.0,35.209537744522095
1,1,4,0,0.5,1.0,0.6666666666666666,35.58328700065613
0,1,4,1,0.0,0.0,0.0,36.193382024765015
0,0,5,1,0,0.0,0.0,35.20444107055664
0,0,5,1,0,0.0,0.0,35.59285092353821
0,2,3,1,0.0,0.0,0.0,36.21168351173401
0,1,4,1,0.0,0.0,0.0,36.624215841293335
0,1,4,1,0.0,0.0,0.0,36.50603628158569
0,1,4,1,0.0,0.0,0.0,35.10943055152893
1,1,4,0,0.5,1.0,0.6666666666666666,35.11329627037048
1,1,4,0,0.5,1.0,0.6666666666666666,35.504902839660645
0,0,5,1,0,0.0,0.0,36.48783731460571
1,0,5,0,1.0,1.0,1.0,35.448840618133545
0,0,5,1,0,0.0,0.0,36.79353165626526
0,0,5,1,0,0.0,0.0,35.621254444122314
1,0,5,0,1.0,1.0,1.0,35.56451964378357
0,0,5,1,0,0.0,0.0,35.6421058177948
0,0,5,1,0,0.0,0.0,36.404361963272095
0,1,4,1,0.0,0.0,0.0,35.16948699951172
0,0,5,1,0,0.0,0.0,35.050233125686646
0,1,4,1,0.0,0.0,0.0,35.6552369594574
1,1,4,0,0.5,1.0,0.6666666666666666,35.42154932022095
0,0,5,1,0,0.0,0.0,35.09574246406555
0,0,5,1,0,0.0,0.0,36.09738326072693
1,0,5,0,1.0,1.0,1.0,36.09845280647278
0,1,4,1,0.0,0.0,0.0,35.65274405479431
0,0,5,1,0,0.0,0.0,35.811432123184204
1,1,4,0,0.5,1.0,0.6666666666666666,35.679346323013306
0,0,5,1,0,0.0,0.0,36.589834213256836
0,0,5,1,0,0.0,0.0,35.15514612197876
