tp,fp,tn,fn,precision,recall,f1_score,runtime
1,2,3,0,0.3333333333333333,1.0,0.5,0.3539605140686035
1,0,5,0,1.0,1.0,1.0,0.5672905445098877
1,0,5,0,1.0,1.0,1.0,0.45302271842956543
1,0,5,0,1.0,1.0,1.0,0.5483088493347168
1,1,4,0,0.5,1.0,0.6666666666666666,0.39694881439208984
1,0,5,0,1.0,1.0,1.0,0.515810489654541
1,1,4,0,0.5,1.0,0.6666666666666666,0.4486684799194336
1,1,4,0,0.5,1.0,0.6666666666666666,0.6605641841888428
1,0,5,0,1.0,1.0,1.0,0.596360445022583
1,1,4,0,0.5,1.0,0.6666666666666666,0.5048894882202148
1,1,4,0,0.5,1.0,0.6666666666666666,0.4250915050506592
1,1,4,0,0.5,1.0,0.6666666666666666,0.4550001621246338
0,1,4,1,0.0,0.0,0.0,0.3311595916748047
1,0,5,0,1.0,1.0,1.0,0.7170608043670654
0,2,3,1,0.0,0.0,0.0,0.367434024810791
1,2,3,0,0.3333333333333333,1.0,0.5,0.314258337020874
1,2,3,0,0.3333333333333333,1.0,0.5,0.6530802249908447
1,2,3,0,0.3333333333333333,1.0,0.5,0.43261122703552246
1,0,5,0,1.0,1.0,1.0,0.5197737216949463
1,1,4,0,0.5,1.0,0.6666666666666666,0.5485420227050781
1,0,5,0,1.0,1.0,1.0,0.429701566696167
0,0,5,1,0,0.0,0.0,0.3288910388946533
1,0,5,0,1.0,1.0,1.0,0.46544313430786133
1,3,2,0,0.25,1.0,0.4,0.44775390625
1,0,5,0,1.0,1.0,1.0,0.44106507301330566
1,0,5,0,1.0,1.0,1.0,0.4088289737701416
1,0,5,0,1.0,1.0,1.0,0.4197099208831787
1,2,3,0,0.3333333333333333,1.0,0.5,0.47339320182800293
1,1,4,0,0.5,1.0,0.6666666666666666,0.3961296081542969
1,0,5,0,1.0,1.0,1.0,0.37898778915405273
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,14.306499242782593
1,1,4,0,0.5,1.0,0.6666666666666666,0.2999603748321533
1,1,4,0,0.5,1.0,0.6666666666666666,0.38878560066223145
1,0,5,0,1.0,1.0,1.0,0.49309515953063965
0,0,5,1,0,0.0,0.0,0.43102025985717773
0,3,2,1,0.0,0.0,0.0,0.3100910186767578
1,0,5,0,1.0,1.0,1.0,0.3898482322692871
1,0,5,0,1.0,1.0,1.0,0.45878124237060547
1,0,5,0,1.0,1.0,1.0,0.6080269813537598
1,1,4,0,0.5,1.0,0.6666666666666666,0.3953578472137451
1,0,5,0,1.0,1.0,1.0,0.6470696926116943
1,2,3,0,0.3333333333333333,1.0,0.5,0.30568456649780273
0,2,3,1,0.0,0.0,0.0,0.4600796699523926
1,0,5,0,1.0,1.0,1.0,0.6006600856781006
1,3,2,0,0.25,1.0,0.4,0.5302078723907471
1,2,3,0,0.3333333333333333,1.0,0.5,0.4258999824523926
1,0,5,0,1.0,1.0,1.0,0.4878838062286377
1,1,4,0,0.5,1.0,0.6666666666666666,0.4722158908843994
0,1,4,1,0.0,0.0,0.0,0.5832786560058594
1,1,4,0,0.5,1.0,0.6666666666666666,0.509049654006958
1,4,1,0,0.2,1.0,0.3333333333333333,0.3597252368927002
1,1,4,0,0.5,1.0,0.6666666666666666,0.7603127956390381
1,2,3,0,0.3333333333333333,1.0,0.5,0.3429243564605713
1,1,4,0,0.5,1.0,0.6666666666666666,0.3892555236816406
1,0,5,0,1.0,1.0,1.0,0.4751474857330322
0,1,4,1,0.0,0.0,0.0,0.38314247131347656
1,2,3,0,0.3333333333333333,1.0,0.5,0.4142341613769531
0,0,5,1,0,0.0,0.0,0.3690366744995117
1,0,5,0,1.0,1.0,1.0,0.3778855800628662
1,0,5,0,1.0,1.0,1.0,0.49739551544189453
1,0,5,0,1.0,1.0,1.0,0.6222352981567383
1,2,3,0,0.3333333333333333,1.0,0.5,0.29399657249450684
0,0,5,1,0,0.0,0.0,0.4172489643096924
1,3,2,0,0.25,1.0,0.4,0.36308741569519043
1,1,4,0,0.5,1.0,0.6666666666666666,0.463747501373291
1,0,5,0,1.0,1.0,1.0,0.5280847549438477
1,2,3,0,0.3333333333333333,1.0,0.5,0.4955596923828125
1,0,5,0,1.0,1.0,1.0,0.43298888206481934
0,1,4,1,0.0,0.0,0.0,0.38764524459838867
1,1,4,0,0.5,1.0,0.6666666666666666,0.46181201934814453
1,2,3,0,0.3333333333333333,1.0,0.5,0.3329503536224365
1,3,2,0,0.25,1.0,0.4,0.35474681854248047
1,1,4,0,0.5,1.0,0.6666666666666666,0.379178524017334
1,1,4,0,0.5,1.0,0.6666666666666666,0.3595287799835205
1,1,4,0,0.5,1.0,0.6666666666666666,0.38887572288513184
1,3,2,0,0.25,1.0,0.4,0.30785512924194336
1,1,4,0,0.5,1.0,0.6666666666666666,0.45024609565734863
1,0,5,0,1.0,1.0,1.0,0.33321523666381836
1,0,5,0,1.0,1.0,1.0,0.47360730171203613
1,2,3,0,0.3333333333333333,1.0,0.5,0.5282220840454102
0,0,5,1,0,0.0,0.0,0.4025249481201172
1,1,4,0,0.5,1.0,0.6666666666666666,0.4662435054779053
1,1,4,0,0.5,1.0,0.6666666666666666,0.3056027889251709
0,5,0,1,0.0,0.0,0.0,0.31427431106567383
1,1,4,0,0.5,1.0,0.6666666666666666,0.4633347988128662
0,3,2,1,0.0,0.0,0.0,0.3300337791442871
1,1,4,0,0.5,1.0,0.6666666666666666,0.4109194278717041
1,2,3,0,0.3333333333333333,1.0,0.5,0.3420732021331787
1,0,5,0,1.0,1.0,1.0,0.46210193634033203
1,2,3,0,0.3333333333333333,1.0,0.5,0.41822242736816406
1,0,5,0,1.0,1.0,1.0,0.37343430519104004
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,5.536096096038818
0,0,5,1,0,0.0,0.0,0.3890359401702881
1,1,4,0,0.5,1.0,0.6666666666666666,0.4843411445617676
1,3,2,0,0.25,1.0,0.4,0.4990050792694092
1,0,5,0,1.0,1.0,1.0,0.500709056854248
1,0,5,0,1.0,1.0,1.0,0.4127166271209717
0,1,4,1,0.0,0.0,0.0,0.37274599075317383
1,1,4,0,0.5,1.0,0.6666666666666666,0.3353755474090576
0,1,4,1,0.0,0.0,0.0,0.30153965950012207
