tp,fp,tn,fn,precision,recall,f1_score,runtime
1,2,3,0,0.3333333333333333,1.0,0.5,0.010022878646850586
1,0,5,0,1.0,1.0,1.0,0.010130643844604492
0,0,5,1,0,0.0,0.0,0.009990692138671875
1,1,4,0,0.5,1.0,0.6666666666666666,0.009958267211914062
0,3,2,1,0.0,0.0,0.0,0.01019144058227539
0,3,2,1,0.0,0.0,0.0,0.009922504425048828
1,2,3,0,0.3333333333333333,1.0,0.5,0.010604381561279297
0,0,5,1,0,0.0,0.0,0.010123491287231445
0,2,3,1,0.0,0.0,0.0,0.010078907012939453
0,3,2,1,0.0,0.0,0.0,0.010066747665405273
1,3,2,0,0.25,1.0,0.4,0.01031041145324707
0,0,5,1,0,0.0,0.0,0.010291576385498047
1,2,3,0,0.3333333333333333,1.0,0.5,0.00999140739440918
1,2,3,0,0.3333333333333333,1.0,0.5,0.010047435760498047
1,2,3,0,0.3333333333333333,1.0,0.5,0.010077714920043945
1,1,4,0,0.5,1.0,0.6666666666666666,0.010132074356079102
1,3,2,0,0.25,1.0,0.4,0.009966850280761719
1,4,1,0,0.2,1.0,0.3333333333333333,0.010095596313476562
1,4,1,0,0.2,1.0,0.3333333333333333,0.010372638702392578
1,3,2,0,0.25,1.0,0.4,0.010041475296020508
1,0,5,0,1.0,1.0,1.0,0.01012873649597168
0,3,2,1,0.0,0.0,0.0,0.00997614860534668
0,4,1,1,0.0,0.0,0.0,0.010102272033691406
1,1,4,0,0.5,1.0,0.6666666666666666,0.010125875473022461
1,1,4,0,0.5,1.0,0.6666666666666666,0.01010584831237793
0,4,1,1,0.0,0.0,0.0,0.010176658630371094
1,4,1,0,0.2,1.0,0.3333333333333333,0.010139226913452148
0,4,1,1,0.0,0.0,0.0,0.010046005249023438
0,0,5,1,0,0.0,0.0,0.010251760482788086
1,3,2,0,0.25,1.0,0.4,0.010111808776855469
0,2,3,1,0.0,0.0,0.0,0.010162353515625
1,3,2,0,0.25,1.0,0.4,0.009922504425048828
0,4,1,1,0.0,0.0,0.0,0.010050058364868164
0,3,2,1,0.0,0.0,0.0,0.010061979293823242
0,4,1,1,0.0,0.0,0.0,0.01041555404663086
1,3,2,0,0.25,1.0,0.4,0.010029077529907227
1,2,3,0,0.3333333333333333,1.0,0.5,0.010165929794311523
1,1,4,0,0.5,1.0,0.6666666666666666,0.010312795639038086
0,3,2,1,0.0,0.0,0.0,0.009959220886230469
0,3,2,1,0.0,0.0,0.0,0.009857654571533203
0,4,1,1,0.0,0.0,0.0,0.009980440139770508
1,3,2,0,0.25,1.0,0.4,0.010095357894897461
1,2,3,0,0.3333333333333333,1.0,0.5,0.010123252868652344
0,3,2,1,0.0,0.0,0.0,0.010217905044555664
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.010071992874145508
0,3,2,1,0.0,0.0,0.0,0.01025390625
0,2,3,1,0.0,0.0,0.0,0.010112285614013672
1,3,2,0,0.25,1.0,0.4,0.010177373886108398
1,2,3,0,0.3333333333333333,1.0,0.5,0.010201215744018555
0,4,1,1,0.0,0.0,0.0,0.010078668594360352
1,2,3,0,0.3333333333333333,1.0,0.5,0.010131597518920898
0,4,1,1,0.0,0.0,0.0,0.009726524353027344
1,3,2,0,0.25,1.0,0.4,0.010110139846801758
1,3,2,0,0.25,1.0,0.4,0.009969472885131836
